Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,47.230000,48.130001,47.220001,48.029999,43.880901,59248200
2015-04-28,47.779999,49.209999,47.700001,49.160000,44.913280,60730800
2015-04-29,48.720001,49.310001,48.500000,49.060001,44.821926,47804600
2015-04-30,48.700001,49.540001,48.599998,48.639999,44.438210,64725500
2015-05-01,48.580002,48.880001,48.400002,48.660000,44.456478,38937300
2015-05-04,48.369999,48.869999,48.180000,48.240002,44.072769,34039500
2015-05-05,47.820000,48.160000,47.310001,47.599998,43.488049,50369200
2015-05-06,47.570000,47.770000,46.020000,46.279999,42.282074,52433000
2015-05-07,46.270000,47.090000,46.160000,46.700001,42.665791,32971700
2015-05-08,47.549999,47.980000,47.520000,47.750000,43.625092,35364900
2015-05-11,47.549999,47.910000,47.369999,47.369999,43.277916,24609400
2015-05-12,46.849998,47.680000,46.419998,47.349998,43.259651,29928300
2015-05-13,48.189999,48.320000,47.570000,47.630001,43.515453,34184600
2015-05-14,48.029999,48.820000,48.029999,48.720001,44.511295,32980900
2015-05-15,48.869999,48.910000,48.049999,48.299999,44.127586,28642700
2015-05-18,47.980000,48.220001,47.610001,48.009998,43.862637,23631000
2015-05-19,47.560001,47.810001,47.180000,47.580002,43.752285,28574800
2015-05-20,47.389999,47.930000,47.270000,47.580002,43.752285,25047900
2015-05-21,47.279999,47.599998,47.009998,47.419998,43.605152,22410700
2015-05-22,47.299999,47.349998,46.820000,46.900002,43.126991,25720600
2015-05-26,46.830002,46.880001,46.189999,46.590000,42.841934,29581900
2015-05-27,46.820000,47.770000,46.619999,47.610001,43.779873,27335600
2015-05-28,47.500000,48.020000,47.389999,47.450001,43.632744,19283700
2015-05-29,47.430000,47.570000,46.590000,46.860001,43.090210,35428100
2015-06-01,47.060001,47.770000,46.619999,47.230000,43.430428,28837300
2015-06-02,46.930000,47.349998,46.619999,46.919998,43.145382,21283400
2015-06-03,47.369999,47.740002,46.820000,46.849998,43.081013,28002200
2015-06-04,46.790001,47.160000,46.200001,46.360001,42.630428,27745500
2015-06-05,46.310001,46.520000,45.840000,46.139999,42.428131,25438100
2015-06-08,46.299999,46.430000,45.669998,45.730000,42.051117,21822300
2015-06-09,45.759998,45.939999,45.459999,45.650002,41.977551,24406100
2015-06-10,45.790001,46.830002,45.689999,46.610001,42.860321,28417400
2015-06-11,46.660000,46.919998,46.130001,46.439999,42.703983,27347800
2015-06-12,46.220001,46.470001,45.900002,45.970001,42.271805,23931000
2015-06-15,45.450001,45.650002,45.020000,45.480000,41.821232,33254500
2015-06-16,45.349998,46.240002,45.299999,45.830002,42.143066,27070300
2015-06-17,45.730000,46.070000,45.360001,45.970001,42.271805,28704100
2015-06-18,46.220001,46.799999,46.169998,46.720001,42.961472,32658300
2015-06-19,46.790001,46.830002,45.990002,46.099998,42.391354,63837000
2015-06-22,46.330002,46.720001,46.160000,46.230000,42.510891,20318100
2015-06-23,46.130001,46.279999,45.619999,45.910000,42.216637,25896500
2015-06-24,45.669998,46.250000,45.549999,45.639999,41.968357,34890900
2015-06-25,46.029999,46.060001,45.500000,45.650002,41.977551,20616000
2015-06-26,45.650002,46.279999,45.029999,45.259998,41.618927,49835300
2015-06-29,45.040001,45.230000,44.360001,44.369999,40.800522,34081700
2015-06-30,44.709999,44.720001,43.939999,44.150002,40.598217,35945400
2015-07-01,44.459999,45.230000,44.099998,44.450001,40.874092,28343900
2015-07-02,44.480000,44.750000,44.060001,44.400002,40.828110,21752000
2015-07-06,43.959999,44.480000,43.950001,44.389999,40.818909,23034000
2015-07-07,44.340000,44.490002,43.320000,44.299999,40.736153,36435800
2015-07-08,44.439999,44.900002,44.029999,44.240002,40.680973,39785900
2015-07-09,44.750000,45.220001,44.500000,44.520000,40.938461,32424700
2015-07-10,45.009998,45.139999,44.570000,44.610001,41.021217,25465800
2015-07-13,44.980000,45.619999,44.950001,45.540001,41.876400,28178300
2015-07-14,45.450001,45.959999,45.310001,45.619999,41.949966,22880300
2015-07-15,45.680000,45.889999,45.430000,45.759998,42.078697,26629600
2015-07-16,46.009998,46.689999,45.970001,46.660000,42.906292,26271700
2015-07-17,46.549999,46.779999,46.259998,46.619999,42.869511,29467100
2015-07-20,46.650002,47.130001,46.439999,46.919998,43.145382,30631900
2015-07-21,46.779999,47.330002,46.480000,47.279999,43.476418,42781900
2015-07-22,45.439999,46.930000,45.200001,45.540001,41.876400,59152400
2015-07-23,45.270000,46.230000,45.099998,46.110001,42.400547,33934000
2015-07-24,45.910000,46.320000,45.799999,45.939999,42.244221,32333200
2015-07-27,45.939999,46.009998,45.250000,45.349998,41.701679,39701400
2015-07-28,45.580002,45.639999,44.790001,45.340000,41.692490,34328900
2015-07-29,45.400002,46.779999,45.259998,46.290001,42.566055,40945900
2015-07-30,46.259998,47.400002,45.930000,46.880001,43.108604,39777900
2015-07-31,47.290001,47.369999,46.500000,46.700001,42.943081,31201500
2015-08-03,46.980000,47.000000,46.450001,46.810001,43.044235,24125900
2015-08-04,46.750000,47.709999,46.680000,47.540001,43.715500,33403900
2015-08-05,47.980000,48.410000,47.540001,47.580002,43.752285,26959700
2015-08-06,47.709999,47.770000,46.330002,46.619999,42.869511,27368000
2015-08-07,46.389999,46.779999,46.259998,46.740002,42.979866,19163000
2015-08-10,46.950001,47.490002,46.840000,47.330002,43.522400,23079900
2015-08-11,46.820000,46.939999,45.900002,46.410000,42.676407,28384300
